,,,
235S-0830-0317,ARR   4317,3/17/19 8:15,
240W-0930-0307,,3/7/19 9:15,240W not sure the train's route
240W-1145-0307,ARR   4318,3/7/19 9:15,
290W-0001-0223,ARR   4318,2/23/19 8:00,290W not sure the train's route
290W-0001-0301,,2/28/19 23:46,
290W-1430-0302,ARR   4318,3/2/19 13:30,
510W-0019-0304,ARR   3007,3/4/19 7:00,510W is unscheduled train may have gone through the requested zone.
510W-0019-0305,ARR   3007,3/5/19 5:00,
510W-0700-0302,,3/2/19 6:15,
510W-0700-0306,ARR   3007,3/6/19 6:15,
590W-0001-0221,,2/20/19 23:16,590W is unscheduled work train may have gone through the requested zone.
590W-0001-0228,ARR   3007,2/28/19 6:15,
590W-0001-0310,ARR   3009,3/10/19 7:50,
590W-0700-0220,ARR   3007,2/20/19 7:00,
590W-0700-0226,ARR   3007,2/26/19 6:15,
590W-0700-0301,ARR   3007,3/1/19 6:15,
590W-0700-0306,,3/6/19 6:15,
590W-0700-0306,ARR   3008,3/6/19 7:00,
590W-0700-0308,ARR   3009,3/8/19 6:15,
590W-0700-0309,ARR   3003,3/9/19 7:00,
590W-0800-0215,ARR   3004,2/15/19 8:15,
590W-0800-0221,ARR   3007,2/21/19 7:00,
590W-0800-0222,ARR   3007,2/22/19 7:00,
590W-0800-0308,ARR   3008,3/8/19 10:00,
590W-0800-0317,ARR   3009,3/17/19 8:00,
590W-0930-0316,ARR   3009,3/16/19 8:45,
590W-1000-0303,ARR   3008,3/3/19 10:00,
590W-1000-0308,,3/8/19 10:00,
590W-1115-0303,ARR   3008,3/3/19 10:00,
