20190214,528502194,1024,1550177797.1981785,117.15365473208458,56.8954855640819,1024.0718446260662,[117.1118769 58.85903946 78.12128029 116.69262624 137.14783926 155.84046792 175.64519971 195.15901501 234.91022039],1550177797.1981785,120.59404244778554,54.145321882659104,995.386420402795,[57.06523135 75.73439843 116.70448242 133.55776914 151.56785994 170.27861663 189.01597671 231.22091416]
20190214,528502194,1025,1550177805.5084739,118.65935898992663,54.50029392999126,718.8183508857702,[117.01333914 57.67374124 116.82583464 135.75927515 153.54472562 174.81124024 197.57407839 235.28593503],1550177805.5084739,120.61590013322281,52.576510164803814,723.0329858216818,[56.67733713 117.75023582 132.54808107 149.98945843 170.67632704 196.48639318 232.16423791]
20190214,528502194,1026,1550177820.3312578,115.71487904490395,56.3725139689579,956.5924541802162,[117.18157142 58.4027003 117.20114308 135.92254564 155.54726769 97.55726503 175.35730745 194.82427991 236.31695932],1550177820.3312578,119.43428826690743,55.30509097936482,1083.1500925030089,[56.45913304 117.43803751 133.63301048 153.14337788 96.07278653 172.47239134 190.60893161 229.47164204]
20190214,528502194,1027,1550177833.0654209,117.47842358252376,56.72508399788149,1254.4619010553347,[117.76665359 58.93574165 117.00846461 176.28603972 238.13628607],1550177833.0654209,120.66410647686527,55.85613525099115,1377.7244817382812,[57.4947441 118.04747502 172.36725746 235.39830471]
20190214,528502194,1028,1550177847.3778443,113.96265339862846,62.145744918803096,1972.8240210784522,[118.75166363 59.33522499 119.03920861 177.80668594 218.18156126 237.43003761],1550177847.3778443,121.25189007311683,59.23668962655831,1952.1245054050994,[56.99261605 118.10804866 170.7982507 209.11557472 232.40238169]
20190214,528502194,1029,1550177867.311236,112.47866182341977,61.9571724933003,2193.4454603930863,[117.84195405 118.52438294 175.74175319 234.14974677],1550177867.311236,118.74040239775027,56.7641432736584,1888.4189729577843,[117.75862687 170.36118912 228.48121024]
20190214,528510459,1014,1550181792.9943023,117.51351988017387,79.9822033314702,2886.3998669422954,[110.97033769 110.78246717 223.98242549],1550181792.9943023,122.3011410270521,68.36897253907492,2264.613368635206,[113.10920946 219.13576868]
20190214,528510459,1013,1550181805.205245,118.2616857692565,64.83918896873536,1184.9021277478914,[115.7900427 115.87018649 174.89454813 232.2343294],1550181805.205245,121.60768090630488,62.12268348013103,1188.7053567497098,[115.51557182 169.06130165 225.45915668]
20190214,528510459,1012,1550181820.0,117.26715796809134,64.96024638884104,742.228618820532,[116.25797517 115.96207739 174.54200278 213.9864517 231.58701201 250.71379078],1550181820.0,119.27415819696841,63.66933178948556,778.0376363293265,[116.02232188 168.60844072 207.47480863 229.20083841 247.8059957]
20190214,528510459,1011,1550181832.4984717,117.6274095309526,66.94874424419824,348.08920578155073,[116.45072876 39.34548559 58.61376371 77.91970713 96.84899331 117.17450945 135.85302431 174.53587384 215.82134011 232.83571929],1550181832.4984717,119.5564641596719,65.53491479360481,388.4543585853628,[36.59851854 54.94529535 72.97709163 92.32606898 109.84089099 130.45649837 163.92202896 210.26585113 230.45619743]
20190214,528510459,1010,1550181842.8943968,117.86423055978062,66.82510349743848,617.6559070725358,[116.74857195 58.50880783 77.84623149 97.51676295 116.94935904 176.00008441 233.56476366 252.24440179],1550181842.8943968,120.13531763119097,62.79908465352108,563.9620102289326,[55.86045428 76.11565103 95.40939206 116.59343842 167.99645159 231.75725143 250.14592166]
20190214,528510459,1009,1550181856.345989,114.67623888722402,66.5489379072595,1139.6754200793557,[117.2893123 59.41125673 78.23078178 117.08742214 176.08885599 234.73295809],1550181856.345989,119.08958408986109,64.13549272807572,1114.1826653019943,[56.53303302 74.24215215 116.38683798 167.51186467 226.4355072]
20190214,528510459,1008,1550181870.0039585,111.94507057000646,62.54719862358038,1483.5146929020857,[117.37967343 117.3224008 176.31433062 234.31012221],1550181870.0039585,118.63042182679466,62.4632639685416,1654.1378271998624,[116.47383694 167.58659877 230.08739587]
20190214,528510459,1007,1550181884.3150985,112.99381854818051,65.1494839443417,1829.456757753947,[116.9434472 58.61231386 116.93062631 174.91840259 231.95549682],1550181884.3150985,118.67516109251895,63.86780517809195,1887.846140133153,[56.3026763 116.40968371 168.6430627 229.16301999]
20190214,528518474,1023,1550184643.6806734,112.88209314217343,53.38733563575023,1638.1169819702463,[118.22515082 118.58684098 138.14809702 158.41467109 177.60680503 217.32834437 235.8268081],1550184643.6806734,119.85848818327328,54.287308729790375,1965.6386163326056,[117.19851002 132.84003126 152.86599832 170.96918659 208.94140957 228.5742727]
20190214,528518474,1024,1550184650.8730202,113.93096345105475,54.3880751989311,891.701621236041,[118.1162203 118.14757653 157.40728054 177.68251658 197.96523704 236.21612497 59.4097806 79.97645155],1550184650.8730202,119.31421479165851,52.87572572640254,918.9476585445063,[112.47736799 150.10030407 169.15507191 193.44617428 232.78623924 57.74641248 75.83148319]
20190214,528518474,1026,1550184671.6801171,115.18558520060998,57.481695174896835,839.0060771514459,[118.08238084 59.53489485 119.14059385 177.52673442 234.96832548 255.4559963],1550184671.6801171,118.44107898382137,55.55184756619535,851.1736939075439,[57.40028219 117.83489831 171.16154613 232.00358654 252.23275189]
20190214,528518474,1027,1550184682.1097648,115.64162024093059,56.21586056996771,1051.1699484080464,[118.88404269 118.56100502 238.58760661 59.596989 178.26964454],1550184682.1097648,119.6862358207,54.180249263278824,1042.5804274931322,[118.5921386 233.42243603 57.45433204 173.49309623]
